label,map_name,num_agents,seed,avg_throughput,elapsed_s,solved,ISR,CSR,ep_length
maze-128-128-2_a16,maze-128-128-2,16,0,4.051957345,3.95,True,0.1875,0.0,219.0625,
maze-128-128-2_a16,maze-128-128-2,16,1,4.02752632,3.97,True,0.1875,0.0,219.0625,
maze-128-128-2_a16,maze-128-128-2,16,2,4.074158219,3.93,True,0.1875,0.0,219.0625,
maze-128-128-2_a32,maze-128-128-2,32,0,6.01734343,5.32,True,0.09375,0.0,237.59375,
maze-128-128-2_a32,maze-128-128-2,32,1,6.124598455,5.22,True,0.09375,0.0,237.59375,
maze-128-128-2_a32,maze-128-128-2,32,2,6.152378336,5.2,True,0.09375,0.0,237.59375,
maze-32-32-2_a8,maze-32-32-2,8,0,49.634709324,0.16,True,1.0,1.0,43.125,
maze-32-32-2_a8,maze-32-32-2,8,1,67.105410227,0.12,True,1.0,1.0,43.125,
maze-32-32-2_a8,maze-32-32-2,8,2,39.868323897,0.2,True,1.0,1.0,43.125,
maze-32-32-2_a16,maze-32-32-2,16,0,69.841316208,0.23,True,1.0,1.0,45.3125,
maze-32-32-2_a16,maze-32-32-2,16,1,51.509646324,0.31,True,1.0,1.0,45.3125,
maze-32-32-2_a16,maze-32-32-2,16,2,75.084021601,0.21,True,1.0,1.0,45.3125,
maze-32-32-2_a32,maze-32-32-2,32,0,93.785373205,0.34,True,1.0,1.0,62.65625,
maze-32-32-2_a32,maze-32-32-2,32,1,89.423787958,0.36,True,1.0,1.0,62.65625,
maze-32-32-2_a32,maze-32-32-2,32,2,96.461874018,0.33,True,1.0,1.0,62.65625,
maze-32-32-4_a8,maze-32-32-4,8,0,33.977575488,0.24,True,1.0,1.0,41.75,
maze-32-32-4_a8,maze-32-32-4,8,1,37.197840719,0.22,True,1.0,1.0,41.75,
maze-32-32-4_a8,maze-32-32-4,8,2,36.259902058,0.22,True,1.0,1.0,41.75,
maze-32-32-4_a16,maze-32-32-4,16,0,39.884279552,0.4,True,1.0,1.0,69.4375,
maze-32-32-4_a16,maze-32-32-4,16,1,34.071094547,0.47,True,1.0,1.0,69.4375,
maze-32-32-4_a16,maze-32-32-4,16,2,50.39200349,0.32,True,1.0,1.0,69.4375,
maze-32-32-4_a32,maze-32-32-4,32,0,48.929947836,0.65,True,0.8125,0.0,99.46875,
maze-32-32-4_a32,maze-32-32-4,32,1,50.955334659,0.63,True,0.8125,0.0,99.46875,
maze-32-32-4_a32,maze-32-32-4,32,2,50.67110209,0.63,True,0.8125,0.0,99.46875,
orz900d_a8,orz900d,8,0,0.045484717,175.88,True,0.25,0.0,216.875,
orz900d_a8,orz900d,8,1,0.045279462,176.68,True,0.25,0.0,216.875,
orz900d_a8,orz900d,8,2,0.045488703,175.87,True,0.25,0.0,216.875,
orz900d_a16,orz900d,16,0,0.087453258,182.95,True,0.125,0.0,236.4375,
orz900d_a16,orz900d,16,1,0.084873918,188.51,True,0.125,0.0,236.4375,
orz900d_a16,orz900d,16,2,0.086798031,184.34,True,0.125,0.0,236.4375,
orz900d_a32,orz900d,32,0,0.160017786,199.98,True,0.15625,0.0,232.375,
orz900d_a32,orz900d,32,1,0.161919329,197.63,True,0.15625,0.0,232.375,
orz900d_a32,orz900d,32,2,0.160083366,199.9,True,0.15625,0.0,232.375,
ost003d_a8,ost003d,8,0,2.56975677,3.11,True,0.875,0.0,107.625,
ost003d_a8,ost003d,8,1,2.626829134,3.05,True,0.875,0.0,107.625,
ost003d_a8,ost003d,8,2,2.540839122,3.15,True,0.875,0.0,107.625,
ost003d_a16,ost003d,16,0,4.712925666,3.39,True,0.875,0.0,126.5,
ost003d_a16,ost003d,16,1,4.802018607,3.33,True,0.875,0.0,126.5,
ost003d_a16,ost003d,16,2,4.571178265,3.5,True,0.875,0.0,126.5,
ost003d_a32,ost003d,32,0,7.655738002,4.18,True,0.75,0.0,148.78125,
ost003d_a32,ost003d,32,1,7.320979183,4.37,True,0.75,0.0,148.78125,
ost003d_a32,ost003d,32,2,7.522213854,4.25,True,0.75,0.0,148.78125,
random-32-32-10_a8,random-32-32-10,8,0,54.676263654,0.15,True,1.0,1.0,27.375,
random-32-32-10_a8,random-32-32-10,8,1,54.456826679,0.15,True,1.0,1.0,27.375,
random-32-32-10_a8,random-32-32-10,8,2,56.216888297,0.14,True,1.0,1.0,27.375,
random-32-32-10_a16,random-32-32-10,16,0,141.068977687,0.11,True,1.0,1.0,26.6875,
random-32-32-10_a16,random-32-32-10,16,1,112.285471326,0.14,True,1.0,1.0,26.6875,
random-32-32-10_a16,random-32-32-10,16,2,126.452138822,0.13,True,1.0,1.0,26.6875,
random-32-32-10_a32,random-32-32-10,32,0,192.511322779,0.17,True,1.0,1.0,25.78125,
random-32-32-10_a32,random-32-32-10,32,1,145.788168424,0.22,True,1.0,1.0,25.78125,
random-32-32-10_a32,random-32-32-10,32,2,171.635227598,0.19,True,1.0,1.0,25.78125,
random-32-32-20_a8,random-32-32-20,8,0,61.805273955,0.13,True,1.0,1.0,22.875,
random-32-32-20_a8,random-32-32-20,8,1,77.860985109,0.1,True,1.0,1.0,22.875,
random-32-32-20_a8,random-32-32-20,8,2,68.060932298,0.12,True,1.0,1.0,22.875,
random-32-32-20_a16,random-32-32-20,16,0,106.440431079,0.15,True,1.0,1.0,23.625,
random-32-32-20_a16,random-32-32-20,16,1,110.420381019,0.14,True,1.0,1.0,23.625,
random-32-32-20_a16,random-32-32-20,16,2,107.610722623,0.15,True,1.0,1.0,23.625,
random-32-32-20_a32,random-32-32-20,32,0,206.548310827,0.15,True,1.0,1.0,21.875,
random-32-32-20_a32,random-32-32-20,32,1,203.978628649,0.16,True,1.0,1.0,21.875,
random-32-32-20_a32,random-32-32-20,32,2,242.644390739,0.13,True,1.0,1.0,21.875,
random-64-64-10_a8,random-64-64-10,8,0,23.791843142,0.34,True,1.0,1.0,44.875,
random-64-64-10_a8,random-64-64-10,8,1,27.092245384,0.3,True,1.0,1.0,44.875,
random-64-64-10_a8,random-64-64-10,8,2,26.585416141,0.3,True,1.0,1.0,44.875,
random-64-64-10_a16,random-64-64-10,16,0,47.913149941,0.33,True,1.0,1.0,42.25,
random-64-64-10_a16,random-64-64-10,16,1,46.512391981,0.34,True,1.0,1.0,42.25,
random-64-64-10_a16,random-64-64-10,16,2,43.13028212,0.37,True,1.0,1.0,42.25,
random-64-64-10_a32,random-64-64-10,32,0,71.378095803,0.45,True,1.0,1.0,38.625,
random-64-64-10_a32,random-64-64-10,32,1,73.492607032,0.44,True,1.0,1.0,38.625,
